Time,Amplitude
0,0
2.26757e-005,0.0626483
4.53515e-005,0.125051
6.80272e-005,0.186961
9.07029e-005,0.248138
0.000113379,0.308339
0.000136054,0.36733
0.00015873,0.424877
0.000181406,0.480755
0.000204082,0.534744
0.000226757,0.586632
0.000249433,0.636216
0.000272109,0.6833
0.000294785,0.727699
0.00031746,0.76924
0.000340136,0.807759
0.000362812,0.843104
0.000385488,0.875137
0.000408163,0.903732
0.000430839,0.928777
0.000453515,0.950172
0.00047619,0.967835
0.000498866,0.981695
0.000521542,0.991699
0.000544218,0.997806
0.000566893,0.999994
0.000589569,0.998252
0.000612245,0.992589
0.000634921,0.983027
0.000657596,0.969602
0.000680272,0.952369
0.000702948,0.931393
0.000725624,0.906759
0.000748299,0.878562
0.000770975,0.846914
0.000793651,0.811938
0.000816327,0.773773
0.000839002,0.732567
0.000861678,0.688484
0.000884354,0.641696
0.000907029,0.592386
0.000929705,0.54075
0.000952381,0.486989
0.000975057,0.431315
0.000997732,0.373946
0.00102041,0.315108
0.00104308,0.255032
0.00106576,0.193955
0.00108844,0.132115
0.00111111,0.0697565
0.00113379,0.00712373
0.00115646,-0.055537
0.00117914,-0.11798
0.00120181,-0.179959
0.00122449,-0.241231
0.00124717,-0.301555
0.00126984,-0.360695
0.00129252,-0.418417
0.00131519,-0.474496
0.00133787,-0.52871
0.00136054,-0.580848
0.00138322,-0.630703
0.0014059,-0.678081
0.00142857,-0.722795
0.00145125,-0.764669
0.00147392,-0.803539
0.0014966,-0.839252
0.00151927,-0.871668
0.00154195,-0.90066
0.00156463,-0.926113
0.0015873,-0.947927
0.00160998,-0.966018
0.00163265,-0.980313
0.00165533,-0.990758
0.001678,-0.997309
0.00170068,-0.999943
0.00172336,-0.998648
0.00174603,-0.99343
0.00176871,-0.984309
0.00179138,-0.971321
0.00181406,-0.954517
0.00183673,-0.933963
0.00185941,-0.90974
0.00188209,-0.881942
0.00190476,-0.85068
0.00192744,-0.816076
0.00195011,-0.778266
0.00197279,-0.737398
0.00199546,-0.693633
0.00201814,-0.647143
0.00204082,-0.598111
0.00206349,-0.546728
0.00208617,-0.493198
0.00210884,-0.437731
0.00213152,-0.380543
0.0021542,-0.321861
0.00217687,-0.261914
0.00219955,-0.200938
0.00222222,-0.139173
0.0022449,-0.0768611
0.00226757,-0.0142471
0.00229025,0.0484228
0.00231293,0.110903
0.0023356,0.172947
0.00235828,0.234311
0.00238095,0.294755
0.00240363,0.354041
0.0024263,0.411936
0.00244898,0.468213
0.00247166,0.52265
0.00249433,0.575034
0.00251701,0.625159
0.00253968,0.672828
0.00256236,0.717854
0.00258503,0.760059
0.00260771,0.799278
0.00263039,0.835357
0.00265306,0.868155
0.00267574,0.897541
0.00269841,0.923402
0.00272109,0.945634
0.00274376,0.964152
0.00276644,0.978882
0.00278912,0.989766
0.00281179,0.996762
0.00283447,0.999841
0.00285714,0.998993
0.00287982,0.99422
0.00290249,0.985541
0.00292517,0.97299
0.00294785,0.956617
0.00297052,0.936485
0.0029932,0.912674
0.00301587,0.885278
0.00303855,0.854403
0.00306122,0.820172
0.0030839,0.782719
0.00310658,0.742191
0.00312925,0.698747
0.00315193,0.652557
0.0031746,0.603804
0.00319728,0.552679
0.00321995,0.499383
0.00324263,0.444125
0.00326531,0.387122
0.00328798,0.328598
0.00331066,0.268783
0.00333333,0.207912
0.00335601,0.146224
0.00337868,0.0839618
0.00340136,0.0213698
0.00342404,-0.0413062
0.00344671,-0.10382
0.00346939,-0.165926
0.00349206,-0.22738
0.00351474,-0.28794
0.00353741,-0.34737
0.00356009,-0.405435
0.00358277,-0.461907
0.00360544,-0.516564
0.00362812,-0.569192
0.00365079,-0.619583
0.00367347,-0.667541
0.00369615,-0.712876
0.00371882,-0.75541
0.0037415,-0.794977
0.00376417,-0.83142
0.00378685,-0.864597
0.00380952,-0.894377
0.0038322,-0.920644
0.00385488,-0.943294
0.00387755,-0.962237
0.00390023,-0.977401
0.0039229,-0.988724
0.00394558,-0.996164
0.00396825,-0.999689
0.00399093,-0.999287
0.00401361,-0.99496
0.00403628,-0.986723
0.00405896,-0.97461
0.00408163,-0.958668
0.00410431,-0.93896
0.00412698,-0.915562
0.00414966,-0.888568
0.00417234,-0.858083
0.00419501,-0.824227
0.00421769,-0.787133
0.00424036,-0.746946
0.00426304,-0.703825
0.00428571,-0.657939
0.00430839,-0.609468
0.00433107,-0.558602
0.00435374,-0.505542
0.00437642,-0.450496
0.00439909,-0.39368
0.00442177,-0.335317
0.00444444,-0.275637
0.00446712,-0.214874
0.0044898,-0.153267
0.00451247,-0.0910582
0.00453515,-0.0284913
0.00455782,0.0341875
0.0045805,0.0967321
0.00460317,0.158897
0.00462585,0.220437
0.00464853,0.281111
0.0046712,0.340681
0.00469388,0.398912
0.00471655,0.455577
0.00473923,0.510451
0.0047619,0.56332
0.00478458,0.613976
0.00480726,0.66222
0.00482993,0.707862
0.00485261,0.750723
0.00487528,0.790635
0.00489796,0.827441
0.00492063,0.860996
0.00494331,0.891168
0.00496599,0.917839
0.00498866,0.940905
0.00501134,0.960274
0.00503401,0.97587
0.00505669,0.987633
0.00507937,0.995515
0.00510204,0.999486
0.00512472,0.999531
0.00514739,0.995649
0.00517007,0.987855
0.00519274,0.97618
0.00521542,0.96067
0.0052381,0.941386
0.00526077,0.918404
0.00528345,0.891814
0.00530612,0.86172
0.0053288,0.82824
0.00535147,0.791507
0.00537415,0.751664
0.00539683,0.708868
0.0054195,0.663287
0.00544218,0.6151
0.00546485,0.564497
0.00548753,0.511676
0.0055102,0.456844
0.00553288,0.400218
0.00555556,0.34202
0.00557823,0.282478
0.00560091,0.221826
0.00562358,0.160303
0.00564626,0.0981501
0.00566893,0.0356114
0.00569161,-0.0270671
0.00571429,-0.0896393
0.00573696,-0.151859
0.00575964,-0.213483
0.00578231,-0.274268
0.00580499,-0.333975
0.00582766,-0.39237
0.00585034,-0.449224
0.00587302,-0.504312
0.00589569,-0.55742
0.00591837,-0.608337
0.00594104,-0.656865
0.00596372,-0.702812
0.00598639,-0.745998
0.00600907,-0.786253
0.00603175,-0.823419
0.00605442,-0.857351
0.0060771,-0.887914
0.00609977,-0.914988
0.00612245,-0.938468
0.00614512,-0.958261
0.0061678,-0.97429
0.00619048,-0.986491
0.00621315,-0.994816
0.00623583,-0.999233
0.0062585,-0.999724
0.00628118,-0.996287
0.00630385,-0.988937
0.00632653,-0.977701
0.00634921,-0.962624
0.00637188,-0.943766
0.00639456,-0.921199
0.00641723,-0.895014
0.00643991,-0.865312
0.00646259,-0.832211
0.00648526,-0.79584
0.00650794,-0.756343
0.00653061,-0.713874
0.00655329,-0.668601
0.00657596,-0.620701
0.00659864,-0.570363
0.00662132,-0.517783
0.00664399,-0.46317
0.00666667,-0.406737
0.00668934,-0.348706
0.00671202,-0.289305
0.00673469,-0.228767
0.00675737,-0.167331
0.00678005,-0.105237
0.00680272,-0.0427297
0.0068254,0.0199453
0.00684807,0.082542
0.00687075,0.144814
0.00689342,0.206518
0.0069161,0.26741
0.00693878,0.327252
0.00696145,0.385807
0.00698413,0.442848
0.0070068,0.498148
0.00702948,0.551491
0.00705215,0.602668
0.00707483,0.651477
0.00709751,0.697727
0.00712018,0.741235
0.00714286,0.781831
0.00716553,0.819356
0.00718821,0.853662
0.00721088,0.884614
0.00723356,0.912091
0.00725624,0.935984
0.00727891,0.956201
0.00730159,0.97266
0.00732426,0.985299
0.00734694,0.994066
0.00736961,0.998928
0.00739229,0.999866
0.00741497,0.996875
0.00743764,0.989968
0.00746032,0.979172
0.00748299,0.964529
0.00750567,0.946097
0.00752834,0.923948
0.00755102,0.898169
0.0075737,0.868861
0.00759637,0.83614
0.00761905,0.800134
0.00764172,0.760984
0.0076644,0.718845
0.00768707,0.673881
0.00770975,0.626271
0.00773243,0.576199
0.0077551,0.523865
0.00777778,0.469472
0.00780045,0.413234
0.00782313,0.355373
0.0078458,0.296116
0.00786848,0.235696
0.00789116,0.17435
0.00791383,0.112318
0.00793651,0.0498459
0.00795918,-0.0128225
0.00798186,-0.0754405
0.00800454,-0.137762
0.00802721,-0.199542
0.00804989,-0.260539
0.00807256,-0.320512
0.00809524,-0.379225
0.00811791,-0.436449
0.00814059,-0.491958
0.00816327,-0.545535
0.00818594,-0.596968
0.00820862,-0.646056
0.00823129,-0.692606
0.00825397,-0.736435
0.00827664,-0.77737
0.00829932,-0.815252
0.008322,-0.84993
0.00834467,-0.88127
0.00836735,-0.909147
0.00839002,-0.933453
0.0084127,-0.954091
0.00843537,-0.970981
0.00845805,-0.984057
0.00848073,-0.993266
0.0085034,-0.998573
0.00852608,-0.999957
0.00854875,-0.997413
0.00857143,-0.99095
0.0085941,-0.980594
0.00861678,-0.966385
0.00863946,-0.94838
0.00866213,-0.926649
0.00868481,-0.901278
0.00870748,-0.872365
0.00873016,-0.840026
0.00875283,-0.804386
0.00877551,-0.765586
0.00879819,-0.723779
0.00882086,-0.679128
0.00884354,-0.631808
0.00886621,-0.582007
0.00888889,-0.529919
0.00891156,-0.47575
0.00893424,-0.419711
0.00895692,-0.362023
0.00897959,-0.302913
0.00900227,-0.242613
0.00902494,-0.18136
0.00904762,-0.119394
0.00907029,-0.0569595
0.00909297,0.005699
0.00911565,0.0683351
0.00913832,0.130703
0.009161,0.192557
0.00918367,0.253655
0.00920635,0.313756
0.00922902,0.372624
0.0092517,0.430029
0.00927438,0.485744
0.00929705,0.539551
0.00931973,0.591238
0.0093424,0.640602
0.00936508,0.68745
0.00938776,0.731597
0.00941043,0.772869
0.00943311,0.811105
0.00945578,0.846155
0.00947846,0.877881
0.00950113,0.906157
0.00952381,0.930874
0.00954649,0.951933
0.00956916,0.969253
0.00959184,0.982765
0.00961451,0.992415
0.00963719,0.998167
0.00965986,0.999998
0.00968254,0.997899
0.00970522,0.991881
0.00972789,0.981965
0.00975057,0.968192
0.00977324,0.950615
0.00979592,0.929304
0.00981859,0.904341
0.00984127,0.875826
0.00986395,0.84387
0.00988662,0.808598
0.0099093,0.77015
0.00993197,0.728676
0.00995465,0.684339
0.00997732,0.637314
0.01,0.587785
0.0100227,0.535947
0.0100454,0.482003
0.010068,0.426166
0.0100907,0.368654
0.0101134,0.309694
0.0101361,0.249518
0.0101587,0.188361
0.0101814,0.126464
0.0102041,0.0640702
0.0102268,0.00142476
0.0102494,-0.0612263
0.0102721,-0.123637
0.0102948,-0.185562
0.0103175,-0.246757
0.0103401,-0.306984
0.0103628,-0.366004
0.0103855,-0.423586
0.0104082,-0.479505
0.0104308,-0.533539
0.0104535,-0.585478
0.0104762,-0.635116
0.0104989,-0.682259
0.0105215,-0.726721
0.0105442,-0.768329
0.0105669,-0.806918
0.0105896,-0.842337
0.0106122,-0.874447
0.0106349,-0.903121
0.0106576,-0.928248
0.0106803,-0.949727
0.0107029,-0.967475
0.0107256,-0.981423
0.0107483,-0.991514
0.010771,-0.997711
0.0107937,-0.999988
0.0108163,-0.998336
0.010839,-0.992762
0.0108617,-0.983287
0.0108844,-0.96995
0.010907,-0.952802
0.0109297,-0.931911
0.0109524,-0.907359
0.0109751,-0.879242
0.0109977,-0.84767
0.0110204,-0.812769
0.0110431,-0.774674
0.0110658,-0.733536
0.0110884,-0.689516
0.0111111,-0.642788
0.0111338,-0.593534
0.0111565,-0.541948
0.0111791,-0.488233
0.0112018,-0.4326
0.0112245,-0.375267
0.0112472,-0.31646
0.0112698,-0.25641
0.0112925,-0.195352
0.0113152,-0.133527
0.0113379,-0.0711777
0.0113605,-0.00854845
0.0113832,0.0541144
0.0114059,0.116565
0.0114286,0.178557
0.0114512,0.239848
0.0114739,0.300196
0.0114966,0.359365
0.0115193,0.417123
0.011542,0.473241
0.0115646,0.527501
0.0115873,0.579688
0.01161,0.629597
0.0116327,0.677033
0.0116553,0.72181
0.011678,0.76375
0.0117007,0.80269
0.0117234,0.838477
0.011746,0.870969
0.0117687,0.90004
0.0117914,0.925574
0.0118141,0.947473
0.0118367,0.965649
0.0118594,0.980031
0.0118821,0.990563
0.0119048,0.997204
0.0119274,0.999927
0.0119501,0.998721
0.0119728,0.993592
0.0119955,0.984559
0.0120181,0.971659
0.0120408,0.954941
0.0120635,0.934471
0.0120862,0.91033
0.0121088,0.882613
0.0121315,0.851428
0.0121542,0.816898
0.0121769,0.779159
0.0121995,0.738359
0.0122222,0.694658
0.0122449,0.648228
0.0122676,0.599252
0.0122902,0.547921
0.0123129,0.494437
0.0123356,0.439011
0.0123583,0.381861
0.012381,0.32321
0.0124036,0.263289
0.0124263,0.202334
0.012449,0.140584
0.0124717,0.0782815
0.0124943,0.0156717
0.012517,-0.0469997
0.0125397,-0.109486
0.0125624,-0.171543
0.012585,-0.232926
0.0126077,-0.293393
0.0126304,-0.352708
0.0126531,-0.410638
0.0126757,-0.466954
0.0126984,-0.521435
0.0127211,-0.573868
0.0127438,-0.624047
0.0127664,-0.671773
0.0127891,-0.716861
0.0128118,-0.759132
0.0128345,-0.798421
0.0128571,-0.834573
0.0128798,-0.867447
0.0129025,-0.896912
0.0129252,-0.922854
0.0129478,-0.94517
0.0129705,-0.963773
0.0129932,-0.97859
0.0130159,-0.989562
0.0130385,-0.996646
0.0130612,-0.999815
0.0130839,-0.999056
0.0131066,-0.994372
0.0131293,-0.985781
0.0131519,-0.973318
0.0131746,-0.957031
0.0131973,-0.936984
0.01322,-0.913255
0.0132426,-0.885939
0.0132653,-0.855143
0.013288,-0.820987
0.0133107,-0.783605
0.0133333,-0.743145
0.013356,-0.699765
0.0133787,-0.653636
0.0134014,-0.60494
0.013424,-0.553866
0.0134467,-0.500617
0.0134694,-0.445401
0.0134921,-0.388435
0.0135147,-0.329943
0.0135374,-0.270155
0.0135601,-0.209305
0.0135828,-0.147633
0.0136054,-0.0853814
0.0136281,-0.0227942
0.0136508,0.0398827
0.0136735,0.102403
